NodeID,SpeciesID,StageID,Stage,Species.StageID,WorkingName,OrganismalGroup,NodeType,Resolution,ResolutionNotes,Feeding,Lifestyle(stage),Lifestyle(species),ConsumerStrategy(stage),System,HabitatAffiliation,Mobility,Residency,NativeStatus,BodySize(g),BodySizeEstimation,BodySizeNotes,BodySizeN,Biomass(kg/ha),BiomassEstimation,BiomassNotes,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Order,Suborder,Infraorder,Superfamily,Family,Genus,SpecificEpithet,Subspecies,NodeNotes
11,11,1,Adult,11.1,Abarenicola affinis,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Abarenicola,affinis,,NA
12,12,1,Adult,12.1,Capitellid 1,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,Capitellidae,,,,NA
13,13,1,Adult,13.1,Capitellid 2,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,Capitellidae,,,,NA
14,14,1,Adult,14.1,Heteromastus filiformis,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Heteromastus,filiformis,,NA
15,15,1,Adult,15.1,Decamastus sp.,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Decamastus,sp.,,NA
16,16,1,Adult,16.1,Paraonis sp.,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,Paraonidae,Paraonis,sp.,,NA
17,17,1,Adult,17.1,Scoloplos johnstonei,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Scoloplos,johnstonei,,NA
18,18,1,Adult,18.1,Macroclymenella stewartensis,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Macroclymenella,stewartensis,,NA
19,19,1,Adult,19.1,Hesionid 1,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,Hesionidae,,,,NA
20,20,1,Adult,20.1,Exogone sp.1,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Exogone,sp. 1,,NA
21,21,1,Adult,21.1,Exogone sp.2,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Exogone ,sp. 2,,NA
22,22,1,Adult,22.1,Perinereis nuntia,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Perinereis,nuntia,,NA
23,23,1,Adult,23.1,Sphaerodorum sp.,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Sphaerodorum,sp.,,NA
24,24,1,Adult,24.1,Spio sp.1,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Spio,sp.1,,NA
25,25,1,Adult,25.1,Spio sp.2,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Spio,sp. 2,,NA
26,26,1,Adult,26.1,Boccardia syrtis,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Boccardia,syrtis,,NA
27,27,1,Adult,27.1,Boccardia acus,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Boccardia,acus,,NA
28,28,1,Adult,28.1,Malacoceros sp.,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Malacoceros,sp.,,NA
29,29,1,Adult,29.1,Prinospio sp.1,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Prinospio,sp. 1,,NA
30,30,1,Adult,30.1,Colurostylis lemurum,Cumacean,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Crustaccea,,,Cumacea,,,,,,,Colurostylis,lemurum,,NA
31,31,1,Adult,31.1,Diastylopsis thileniusi,Cumacean,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Crustaccea,,,Cumacea,,,,,,,Diastylopsis,thileniusi,,NA
32,32,1,Adult,32.1,Tanaisus sp.,Tanaid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Crustacea,,,Malacostraca,,Tanaidacea,,,,,Tanaisus,sp.,,NA
33,33,1,Adult,33.1,Heterophoxus stephenseni,Amphipod,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Crustacea,,,Amphipoda,,,,,,,Heterophoxus,stephenseni,,NA
34,34,1,Adult,34.1,Phoxocephalus regium,Amphipod,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Crustacea,,,Amphipoda,,,,,,,Phoxocephalus,regium,,NA
35,35,1,Adult,35.1,Pontharpinia australis,Amphipod,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Crustacea,,,Amphipoda,,,,,,,Pontharpinia,australis,,NA
36,36,1,Adult,36.1,Amphipod 1,Amphipod,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Crustacea,,,Amphipoda,,,,,,,,,,NA
37,37,1,Adult,37.1,Paracalliope sp.,Amphipod,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Crustacea,,,Amphipoda,,,,,,,Paracalliope,sp.,,NA
38,38,1,Adult,38.1,Cymodopsis montis,Isopod,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Crustacea,,,Isopoda,,,,,,,Cymodopsis,montis,,NA
39,39,1,Adult,39.1,Ghost Shrimp,Burrowing Shrimp,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Crustacea,,,Malacostraca,,Thalassinidea,,,,,Callianassa,filholi,,NA
40,40,1,Adult,40.1,Mantis Shrimp,Burrowing Shrimp,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Crustacea,,,Malacostraca,,Stomatopoda,,,,,Heterosquilla,tricarinata,,NA
41,41,1,Adult,41.1,Stalk-eyed mud crab,Crab,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Intermediate,Resident,,,,,,,,,Animalia,Crustacea,,,Malacostraca,,Decapoda,,,,,Macrophthalmus,hirtipes,,NA
42,42,1,Adult,42.1,Hairy-handed crab,Crab,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Intermediate,Resident,,,,,,,,,Animalia,Crustacea,,,Malacostraca,,Decapoda,,,,,Hemigrapsus,crenulatus,,NA
43,43,1,Adult,43.1,Common rock crab,Crab,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Intermediate,Resident,,,,,,,,,Animalia,Crustacea,,,Malacostraca,,Decapoda,,,,,Hemigrapsus,edwardsii,,NA
44,44,1,Adult,44.1,Notoacmea helmsi,Snail,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Mollusca,,,Gastropoda,,,,,,,Notoacmea,helmsi,,NA
45,45,1,Adult,45.1,Diloma subrostrata,Snail,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Mollusca,,,Gastropoda,,,,,,,Diloma,subrostrata,,NA
46,46,1,Adult,46.1,Zeacumantus subcarinatus,Snail,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Mollusca,,,Gastropoda,,,,,,,Zeacumantus,subcarinatus,,NA
47,47,1,Adult,47.1,Pyramidellid 1,Snail,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Mollusca,,,Gastropoda,,,,,,Pyramidellidae,,,,NA
48,48,1,Adult,48.1,Cominella glandiformis,Snail,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Mollusca,,,Gastropoda,,,,,,,Cominella,glandiformis,,NA
49,49,1,Adult,49.1,Nucula dunedinensis,Bivalve,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Mollusca,,,Bivalvia,,,,,,,Nucula,dunedinensis,,NA
50,50,1,Adult,50.1,Perrierina turneri,Bivalve,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Mollusca,,,Bivalvia,,,,,,,Perrierina,turneri,,NA
51,51,1,Adult,51.1,Large wedge shell,Bivalve,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Mollusca,,,Bivalvia,,,,,,,Macomona,liliana,,NA
52,52,1,Adult,52.1,New Zealand cockle,Bivalve,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Mollusca,,,Bivalvia,,,,,,,Austrovenus,stutchburyi,,NA
53,53,1,Adult,53.1,Pelecypod 1,Bivalve,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Mollusca,,,Bivalvia,,,,,,,,,,NA
54,54,1,Adult,54.1,Paphies sp.,Bivalve,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Mollusca,,,Bivalvia,,,,,,,Paphies,sp.,,NA
55,55,1,Adult,55.1,Phoronid 1,Phronoid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Phoronida,,,,,,,,,,,,,NA
56,56,1,Adult,56.1,Edwardsia leucomelos,Anthozoan,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Cnidaria,,,Anthozoa,,,,,,,Edwardsia ,leucomelos,,NA
57,57,1,Adult,57.1,Nemertine 1,Nemertean,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Nemertinea,,,,,,,,,,,,,NA
58,58,1,Adult,58.1,Nemertine 2,Nemertean,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Nemertinea,,,,,,,,,,,,,NA
59,59,1,Adult,59.1,Nemertine 3,Nemertean,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Nemertinea,,,,,,,,,,,,,NA
60,60,1,Adult,60.1,Enopla 3,Nemertean,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Nemertinea,,,Enopla,,,,,,,,,,NA
61,61,1,Adult,61.1,Capitellid 3,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,Capittelidae,,,,NA
62,62,1,Adult,62.1,Travisia sp.,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Travisia,sp.,,NA
63,63,1,Adult,63.1,Armandia sp.,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Armandia,sp.,,NA
64,64,1,Adult,64.1,Naineris sp.,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Naineris,sp.,,NA
65,65,1,Adult,65.1,Scoloplos cylindrifer,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Scoloplos,cylindrifer,,NA
66,66,1,Adult,66.1,Leitoscoloplos sp.,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Leitoscoloplos,sp.,,NA
67,67,1,Adult,67.1,Glycera sp.,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Glycera,sp.,,NA
68,68,1,Adult,68.1,Macrolymenella sp.,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Macrolymenella,sp. ,,NA
69,69,1,Adult,69.1,Dorvillea incerta,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Dorvillea,incerta,,NA
70,70,1,Adult,70.1,Goniadid 1,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,Goniadidae,,,,NA
71,71,1,Adult,71.1,Hesionid 2,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,Hesionidae,,,,NA
72,72,1,Adult,72.1,Geminosyllis sp.,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Geminosyllis,sp.,,NA
73,73,1,Adult,73.1,Exogone sp.3,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Exogone,sp. 3,,NA
74,74,1,Adult,74.1,Aglaophamus sp.1,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Aglaophamus,sp. 1,,NA
75,75,1,Adult,75.1,Perinereis sp.2,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Perinereis,sp. 2 ,,NA
76,76,1,Adult,76.1,Tharyx sp.,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Tharyx,sp.,,NA
77,77,1,Adult,77.1,Prinospio sp.2,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Prinospio,sp. 2 ,,NA
78,78,1,Adult,78.1,Aonides sp.1,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Aonides,sp. 1,,NA
79,79,1,Adult,79.1,Terebellid 1,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,Terebellidae,,,,NA
80,80,1,Adult,80.1,Terebellid 2,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,Terebellidae,,,,NA
81,81,1,Adult,81.1,Pectinaria sp.,Annelid,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Annelida,,,Polychaeta,,,,,,,Pectinaria,sp. ,,NA
82,82,1,Adult,82.1,Diastilid 3,Cumacean,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Crustacea,,,Cumacea ,,,,,,Diastillidae,,,,NA
83,83,1,Adult,83.1,Neballid 1,Leptostracan,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Crustacea,,,Malacostraca,,Leptostraca,,,,Neballidae,,,,NA
84,84,1,Adult,84.1,Lysianassid 1,Amphipod,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Crustacea,,,Amphipoda,,,,,,Lysianassidae,,,,NA
85,85,1,Adult,85.1,Lysianassid 2,Amphipod,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Crustacea,,,Amphipoda,,,,,,Lysianassidae,,,,NA
86,86,1,Adult,86.1,Paracorophium lucasi,Amphipod,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Crustacea,,,Amphipoda,,,,,,,Paracorophium,lucasi,,NA
87,87,1,Adult,87.1,Aora sp.,Amphipod,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Crustacea,,,Amphipoda,,,,,,,Aora,sp.,,NA
88,88,1,Adult,88.1,Oedicerotid,Amphipod,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Crustacea,,,Amphipoda,,,,,,Oedicerotidae,,,,NA
89,89,1,Adult,89.1,Exosphaeroma planulum,Isopod,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Crustacea,,,Isopoda,,,,,,Sphaeromatidae,Exosphaeroma,planulum,,NA
90,90,1,Adult,90.1,Pseudophaeroma campbellensis,Isopod,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Crustacea,,,Isopoda,,,,,,Sphaeromatidae,Pseudophaeroma,campbellensis,,NA
91,91,1,Adult,91.1,Halicarcinus whitei,Crab,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Intermediate,Resident,,,,,,,,,Animalia,Crustacea,,,Malacostraca,,Decapoda,,,,,Halicarcinus,whitei,,NA
92,92,1,Adult,92.1,Glaucus sp.,Snail,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Mollusca,,,Gastropoda,,,,,,,Glaucus,sp.,,NA
93,93,1,Adult,93.1,Littorina antipodum,Snail,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Mollusca,,,Gastropoda,,,,,,,Littorina,antipodum,,NA
94,94,1,Adult,94.1,Neoguraleus sp. 1,Snail,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Mollusca,,,Gastropoda,,,,,,,Neoguraleus,sp. 1,,NA
95,95,1,Adult,95.1,Cominella sp. 1,Snail,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Mollusca,,,Gastropoda,,,,,,,Cominella,sp. 1,,NA
96,96,1,Adult,96.1,Buccinulum pertinax,Snail,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Mollusca,,,Gastropoda,,,,,,,Buccinulum,pertinax,,NA
97,97,1,Adult,97.1,Holothuroid 1,Holothuroidean,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Echinodermata,,,Holothuroidea,,,,,,,,,,NA
98,98,1,Adult,98.1,Green-lipped mussel,Bivalve,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Mollusca,,,Bivalvia,,,,,,,Perna,canaliculus,,NA
99,99,1,Adult,99.1,Amphibola crenata,Snail,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,Low,Resident,,,,,,,,,Animalia,Mollusca,,,Gastropoda,,,,,,,Amphibola,crenata,,NA
100,100,1,Adult,100.1,Flatfish spp.,Fish,Taxon,Order,,Feeding,Free-Living,Free-Living,Predator,,,High,Resident,,,,,,,,,Animalia,Chordata,,,Osteichthyes ,,,,,,,,,,NA
101,101,1,Adult,101.1,Yellow-eye mullet,Fish,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,High,Resident,,,,,,,,,Animalia,Chordata,,,Osteichthyes ,,,,,,,Aldrichetta,forsteri,,NA
102,102,1,Adult,102.1,New Zealand spotty,Fish,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,High,Resident,,,,,,,,,Animalia,Chordata,,,Osteichthyes ,,,,,,,Notolabrus,celidotus,,NA
103,103,1,Adult,103.1,Garfish,Fish,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,High,Migrant,,,,,,,,,Animalia,Chordata,,,Osteichthyes ,,,,,,,Hyporhamphus,ihi,,NA
104,104,1,Adult,104.1,Snoek,Fish,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,High,Migrant,,,,,,,,,Animalia,Chordata,,,Osteichthyes ,,,,,,,Thyrsites,atun,,NA
105,105,1,Adult,105.1,Stingray sp.,Elasmobranch,Taxon,Family,,Feeding,Free-Living,Free-Living,Predator,,,High,Migrant,,,,,,,,,Animalia,Chordata,,,Osteichthyes ,,,,,,,,,,NA
106,106,1,Adult,106.1,Dogfish sp.,Elasmobranch,Taxon,Order,,Feeding,Free-Living,Free-Living,Predator,,,High,Migrant,,,,,,,,,Animalia,Chordata,,,Osteichthyes ,,,,,,,,,,NA
107,107,1,Adult,107.1,Oystercatcher 1,Bird,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,High,Resident,,,,,,,,,Animalia,Chordata,,,Aves,,,,,,,Haematopus ,sp. 1,,NA
108,108,1,Adult,108.1,Oystercatcher 2,Bird,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,High,Resident,,,,,,,,,Animalia,Chordata,,,Aves,,,,,,,Haematopus ,sp. 2,,NA
109,109,1,Adult,109.1,Masked Lapwing,Bird,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,High,Resident,,,,,,,,,Animalia,Chordata,,,Aves,,,,,,,Vanellus,miles,,NA
110,110,1,Adult,110.1,Black-billed Gull,Bird,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,High,Resident,,,,,,,,,Animalia,Chordata,,,Aves,,,,,,,Larus,bulleri,,NA
111,111,1,Adult,111.1,Silver Gull,Bird,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,High,Resident,,,,,,,,,Animalia,Chordata,,,Aves,,,,,,,Larus,novaehollandiae,,NA
112,112,1,Adult,112.1,White-fronted Heron,Bird,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,High,Resident,,,,,,,,,Animalia,Chordata,,,Aves,,,,,,,Ardea,novaehollandiae,,NA
113,113,1,Adult,113.1,White-fronted Tern,Bird,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,High,Resident,,,,,,,,,Animalia,Chordata,,,Aves,,,,,,,Sterna,striata,,NA
114,114,1,Adult,114.1,Mallard Duck,Bird,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,High,Resident,,,,,,,,,Animalia,Chordata,,,Aves,,,,,,,Anas,platyrhynchos,,NA
115,115,1,Adult,115.1,Caspian Tern,Bird,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,High,Resident,,,,,,,,,Animalia,Chordata,,,Aves,,,,,,,Sterna,caspia,,NA
116,116,1,Adult,116.1,Black-winged Stilt,Bird,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,High,Resident,,,,,,,,,Animalia,Chordata,,,Aves,,,,,,,Himantopus,himantopus,,NA
117,117,1,Adult,117.1,Paradise Shelduck,Bird,Taxon,Species,,Feeding,Free-Living,Free-Living,Predator,,,High,Resident,,,,,,,,,Animalia,Chordata,,,Aves,,,,,,,Tadorna,variegata,,NA
