Node ID,Species ID ,Stage ID,Stage,Species.StageID,WorkingName,OrganismalGroup,NodeType,Resolution,ResolutionNotes,Feeding,LifestyleStage,LifestyleSpecies,ConsumerStrategyStage,System,HabitatAffiliation,Mobility,Residency,NativeStatus,BodySize(g),BodySizeEstimation,BodySizeNotes,BodySizeN,Biomass(kg/ha),BiomassEstimation,BiomassNotes,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Order,Suborder,Infraorder,Superfamily,Family,Genus,Specific epithet,Subspecies,Node notes
60,60,1,Adult,60.1,Painted goby,Fish,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,High,resident,,,,,,,,,Animalia,Chordata,,,Osteichthyes ,,,,,,,Pomatoschistus,pictus,,NA
58,58,1,Adult,58.1,Sand goby,Fish,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,High,resident,,,,,,,,,Animalia,Chordata,,,Osteichthyes ,,,,,,,Pomatoschistus,minutus,,NA
68,68,1,Adult,68.1,Sea stickleback,Fish,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,High,resident,,,,,,,,,Animalia,Chordata,,,Osteichthyes ,,,,,,,Spinachia,spinachia,,NA
67,67,1,Adult,67.1,Three-spined stickleback,Fish,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,High,resident,,,,,,,,,Animalia,Chordata,,,Osteichthyes ,,,,,,,Gasterosterus,aculeatus,,NA
61,61,1,Adult,61.1,Two-spotted goby,Fish,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,High,resident,,,,,,,,,Animalia,Chordata,,,Osteichthyes ,,,,,,,Gobiusculus,flavescens,,NA
80,80,1,Adult,80.1,Glugea anomala,Fungus,Taxon,Species,,Feeding,Infectious,Infectious,pathogen,,,,,,,,,,,,,Fungi,Microsporidia,,,,,,,,,,Glugea,anomala,,NA
50,50,1,Adult,50.1,Idothea balthica,Isopod,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Malacostraca,,Isopoda,,,,,Idothea,balthica,,NA
51,51,1,Adult,51.1,Idothea chelipes,Isopod,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Malacostraca,,Isopoda,,,,,Idothea ,chelipes,,NA
52,52,1,Adult,52.1,Jaera albifrons,Isopod,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Malacostraca,,Isopoda,,,,,Jaera,albifrons,,NA
8,8,1,Adult,8.1,Meiofauna,Meiofauna,Common Name Group,Assemblage,"This assemblage includes Phyla like free-living nematodes, gnathostimulids and kinorhynchs.",Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,,,,,,,,,,,,,,NA
81,81,1,Adult,81.1,Dactylogyrus sp.,Monogenean,Taxon,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Monogenea,,,,,Dactylogyrus,sp.,,NA
82,82,1,Adult,82.1,Gyrodactylus spp.,Monogenean,Taxon,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Monogenea,,,,,Gyrodactylus,spp.,,NA
163,113,1,Adult,113.1,Ascarophis arctica,Nematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Nematoda,,,,,,,,,,Ascarophis,arctica,,NA
171,116,1,Adult,116.1,Capillaria sp.,Nematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Nematoda,,,,,,,,,,Capillaria,sp.,,NA
165,114,1,Adult,114.1,Contracaecum sp. / osculatum,Nematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Nematoda,,,,,,,,,,Contracaecum,sp.,,NA
175,119,1,Adult,119.1,Cosmocephalus obvelatus,Nematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Nematoda,,,,,,,,,,Cosmocephalus,obvelatus,,NA
174,118,1,Adult,118.1,Cucullanellus minutus,Nematode,Taxon,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Nematoda,,,,,,,,,,Cucullanellus,minutus,,NA
168,115,1,Adult,115.1,Hysterothylacium sp. / aduncum,Nematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Nematoda,,,,,,,,,,Hysterothylacium,sp.,,NA
11,11,1,Adult,11.1,Nematodes,Nematode,Taxon,Phylum,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Nematoda,,,,,,,,,,,,,NA
177,120,1,Adult,120.1,Rhabdochona sp.,Nematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Nematoda,,,,,,,,,,Rhabdochona,sp.,,NA
38,38,1,Adult,38.1,Ostracods,Ostracod,Taxon,Class,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Ostracoda,,,,,,,,,,NA
4,4,1,Adult,4.1,Epipellic Flora,Plant,Common Name Group,Assemblage,aggregated diverse assemblage of diatoms,Autotroph,Freeliving,Freeliving,autotroph,,,Low,resident,,,,,,,,,,,,,,,,,,,,,,,Epipellic flora is just diatoms in the original matrix
5,5,1,Adult,5.1,Macroalgae,Plant,Common Name Group,Assemblage,"This includes all multicellular photosynthetic assemblages not included elsewhere (e.g. algae, filamentous cyanobacteria)",Autotroph,Freeliving,Freeliving,autotroph,,,Low,resident,,,,,,,,,,,,,,,,,,,,,,,NA
3,3,1,Adult,3.1,Phytoplankton,Plant,Common Name Group,Assemblage,aggregated diverse assemblage of phytoplankton,Autotroph,Freeliving,Freeliving,autotroph,,,Intermediate,resident,,,,,,,,,,,,,,,,,,,,,,,NA
6,6,1,Adult,6.1,Seagrass,Plant,Common Name Group,Assemblage,This includes all Alismatales,Autotroph,Freeliving,Freeliving,autotroph,,,Low,resident,,,,,,,,,Plantae,,,,,,,,,,,,,,NA
79,79,1,Adult,79.1,Glossatella sp.,Protist,Taxon,Species,,Feeding,Infectious,Infectious,pathogen,,,,,,,,,,,,,Animalia,Ciliophora,,,,,,,,,,Glossatella,sp.,,NA
78,78,1,Adult,78.1,Trichodina domergui,Protist,Taxon,Species,,Feeding,Infectious,Infectious,pathogen,,,,,,,,,,,,,Animalia,Ciliophora,,,,,,,,,,Trichodina,domergui,,NA
39,39,1,Adult,39.1,Brown shrimp,Shrimp,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Malacostraca,,Decapoda,,,,,Crangon,crangon,,NA
54,54,1,Adult,54.1,Neomysis integer,Shrimp,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Malacostraca,,Mysida,,,,,Neomysis,integer,,NA
40,40,1,Adult,40.1,Palaemon squilla,Shrimp,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Malacostraca,,Decapoda,,,,,Palemon,squilla,,NA
53,53,1,Adult,53.1,Praunus inermis,Shrimp,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Crustacea,,,Malacostraca,,Mysida,,,,,Praunus,inermis,,NA
20,20,1,Adult,20.1,Hydrobia neglecta,Snail,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Mollusca,,,Gastropoda,,Prosobranchia,,,,,Hydrobia,neglecta,,NA
21,21,1,Adult,21.1,Hydrobia ulvae,Snail,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Mollusca,,,Gastropoda,,Prosobranchia,,,,,Hydrobia,ulvae,,NA
19,19,1,Adult,19.1,Hydrobia ventrosa,Snail,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Mollusca,,,Gastropoda,,Prosobranchia,,,,,Hydrobia,ventrosa,,NA
22,22,1,Adult,22.1,Potamopyrgus jenkinsi,Snail,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Mollusca,,,Gastropoda,,Prosobranchia,,,,,Potamopyrgus,jenkensi,,NA
26,26,1,Adult,26.1,Rissoa membranacea,Snail,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Mollusca,,,Gastropoda,,Prosobranchia,,,,,Rissoa,membranacea,,NA
23,23,1,Adult,23.1,Rough periwinkle,Snail,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Mollusca,,,Gastropoda,,Prosobranchia,,,,,Littorina,saxatilis,,NA
24,24,1,Adult,24.1,Smooth periwinkle,Snail,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Mollusca,,,Gastropoda,,Prosobranchia,,,,,Littorina,obtusata,,NA
25,25,1,Adult,25.1,Turboella inconspicua,Snail,Taxon,Species,,Feeding,Freeliving,Freeliving,predator,,,Low,resident,,,,,,,,,Animalia,Mollusca,,,Gastropoda,,Prosobranchia,,,,,Turboella,inconspicua,,NA
133,96,1,Adult,96.1,Acanthostomum balthicum,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Acanthostomum,balthicum,,NA
137,98,1,Adult,98.1,Aphalloides timmi,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Aphalloides,timmi,,NA
135,97,1,Adult,97.1,Asymphylodora demeli,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Asymphylodora,demeli,,NA
142,100,1,Adult,100.1,Brachyphallus crenatus,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Brachyphallus,crenatus,,NA
139,99,1,Adult,99.1,Bunocotyle cingulata,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Bunocotyle,cingulata,,NA
103,88,1,Adult,88.1,Cerc. microphall. No. 4,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Cercaria,microphallidarum no. 4,,NA
95,86,1,Adult,86.1,Cryptocotyle concavum,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Cryptocotyle,concavum,,NA
99,87,1,Adult,87.1,Cryptocotyle lingua,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Cryptocotyle,lingua,,NA
150,105,1,Adult,105.1,Fellodistomidae sp.,Trematode,Taxon,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,Fellodistomidae,,,,NA
143,101,1,Adult,101.1,Hemiurus communis,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Hemiurus,communis,,NA
145,102,1,Adult,102.1,Hemiurus luehei,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Hemiurus,luehei,,NA
83,83,1,Adult,83.1,Himasthla continua,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Himasthla,continua,,NA
87,84,1,Adult,84.1,Himasthla interrupta,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Himasthla,interrupta,,NA
91,85,1,Adult,85.1,Himasthla militaris,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Himasthla,militaris,,NA
147,103,1,Adult,103.1,Lecithaster confusus,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Lecithaster,confusus,,NA
121,93,1,Adult,93.1,Levinseniella sp.,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Levinseniella,sp.,,NA
149,104,1,Adult,104.1,Magnibursatus caudofilamentosa,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Magnibursatus,sp.,,NA
107,89,1,Adult,89.1,Maritrema subdolum,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Maritrema,subdolum,,NA
111,90,1,Adult,90.1,Microphallus claviformis,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Microphallus,claviformis,,NA
114,91,1,Adult,91.1,Microphallus papillorobustum,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Microphallus,papillorobustum,,NA
117,92,1,Adult,92.1,Microphallus pygmaeus,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Microphallus,pygmaeus,,NA
125,94,1,Adult,94.1,Podocotyle atomon,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Podocotyle,atomon,,NA
129,95,1,Adult,95.1,Psilochasmus oxyurus,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Psilochasmus,oxyurus,,NA
151,106,1,Adult,106.1,Strigeidae sp.,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,Strigidae,,,,NA
153,107,1,Adult,107.1,Tylodelphis clavata,Trematode,Lifecycle Stage,Species,,Feeding,Infectious,Infectious,macroparasite,,,,,,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,,Digenea,,,,,Tylodelphis,clavata,,NA
